,question,answer
3069,pasta is processed food. potatoes are natural food.,natural food has more vitamins.
3070,natural food has more vitamins.,and it's just as easy to prepare.
3071,and it's just as easy to prepare.,how do you prepare the potatoes?
3072,how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
3073,"i wash them, and then steam them for 15 minutes.",that's pretty simple.
3074,that's pretty simple.,"then i add butter, salt, and pepper."
3075,"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
3076,my girlfriend's mom got mad at me at the dinner table.,why was that?
3077,why was that?,i sprinkled salt and pepper on the food before i tasted it.
3078,i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
3079,what's the matter with that?,her mom is a great cook.
3080,her mom is a great cook.,"so, a little salt and pepper never hurt anything."
3081,"so, a little salt and pepper never hurt anything.",it hurt her feelings.
3082,it hurt her feelings.,oh.
3083,oh.,"i apologized to her, but i could tell she was still upset."
3084,"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.
3085,maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.
3086,i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.
3087,i eat the same thing every day.,you're kidding.
3088,you're kidding.,"no, i'm serious."
3089,"no, i'm serious.",doesn't that get old?
3090,doesn't that get old?,"no, because i'm eating food that i like."
3091,"no, because i'm eating food that i like.",but the same thing day after day gets old.
3092,but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different."
3093,"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?
3094,do you eat fruits and vegetables every day?,"no, i hate vegetables."
3095,"no, i hate vegetables.",but you eat fruits.
3096,but you eat fruits.,"i eat two apples, one banana, and one orange every day."
3097,"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
3098,there's something wrong with my orange.,what's wrong?
3099,what's wrong?,it's not orange!
3100,it's not orange!,your orange isn't orange?
3101,your orange isn't orange?,"no, it's dark pink!"
3102,"no, it's dark pink!",are you sure? i never heard of such a thing.
3103,are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
3104,"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
3105,"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
3106,who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
3107,"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
3108,what is this world coming to?,who knows? maybe soon we'll have pink bananas.
3109,i love peanuts.,"me, too. i love them roasted and salted."
3110,"me, too. i love them roasted and salted.",i love boiled peanuts.
3111,i love boiled peanuts.,boiled? i never heard of that.
3112,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
3113,just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
3114,i'll have to try them sometime.,they're best when they're hot.
3115,they're best when they're hot.,my brother is allergic to peanuts.
3116,my brother is allergic to peanuts.,that's not good.
3117,that's not good.,"no, it isn't. he almost died when he was little."
3118,"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
3119,i guess he has to be very careful about what he eats.,he has a very strict diet.
3120,i'm gaining weight.,how much have you gained?
3121,how much have you gained?,three pounds just this month.
3122,three pounds just this month.,do you know why?
3123,do you know why?,i think it's the ice cream.
3124,i think it's the ice cream.,you started eating ice cream?
3125,you started eating ice cream?,it was on sale.
3126,it was on sale.,how much did you buy?
3127,how much did you buy?,i filled up my freezer with ice cream.
3128,i filled up my freezer with ice cream.,"well, it won't last forever."
3129,"well, it won't last forever.","no, i figure i'll finish it all by next week."
3130,"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
3131,i'm stuffed.,of course you are. you ate everything on the table.
3132,of course you are. you ate everything on the table.,i don't like to eat leftovers.
3133,i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
3134,i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
3135,i like my food hot and fresh.,you like to see it disappear.
3136,you like to see it disappear.,i don't like it reheated.
3137,i don't like it reheated.,"well, you'll have hot fresh food tomorrow night."
3138,"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
3139,i'm so full i'm going to burst.,you should loosen your belt.
3140,you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
3141,i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please."
3142,i saw what you did.,i didn't do anything.
3143,i didn't do anything.,"oh yes, you did."
3144,"oh yes, you did.",what are you talking about?
3145,what are you talking about?,you know what i'm talking about.
3146,you know what i'm talking about.,i don't have any idea.
3147,i don't have any idea.,you know what you did.
3148,you know what you did.,"maybe i know, but how could you know?"
3149,"maybe i know, but how could you know?",because i was watching you.
3150,because i was watching you.,"okay, i'm sorry i did it."
3151,"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!
3152,don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
3153,i like that shirt.,so do i.
3154,so do i.,how much is it?
3155,how much is it?,i don't know. the tag is missing.
3156,i don't know. the tag is missing.,ask the clerk.
3157,ask the clerk.,i will.
3158,i will.,"oh, look. here's another shirt just like it."
3159,"oh, look. here's another shirt just like it.",does it have a price tag?
3160,does it have a price tag?,"yes, it does. it's only $20."
3161,"yes, it does. it's only $20.",that's a great price.
3162,that's a great price.,i think i'll buy both of them.
3163,i think i'll buy both of them.,you'd better try them on first.
3164,i bought you a pair of pants.,thank you.
3165,thank you.,i hope they fit.
3166,i hope they fit.,i hope you kept the receipt.
3167,i hope you kept the receipt.,you think they won't fit?
3168,you think they won't fit?,i think i've put on some weight.
3169,i think i've put on some weight.,you think?
3170,you think?,maybe a pound or two.
3171,maybe a pound or two.,maybe four or five pounds?
3172,maybe four or five pounds?,my waist is bigger than it was.
3173,my waist is bigger than it was.,no problem. these pants have an elastic waistband.
3174,no problem. these pants have an elastic waistband.,you are so smart!
3175,what do we need to buy?,let me look at our list.
3176,let me look at our list.,i know that we need milk.
3177,i know that we need milk.,nonfat.
3178,nonfat.,of course. what else?
3179,of course. what else?,"we need cheese, bread, and ham."
3180,"we need cheese, bread, and ham.",what kind of cheese?
3181,what kind of cheese?,swiss.
3182,swiss.,"of course, the cheese with holes in it."
3183,"of course, the cheese with holes in it.",i never used to buy swiss cheese.
3184,i never used to buy swiss cheese.,why not?
3185,why not?,i didn't want to pay for the holes.
3186,i need some pants.,i thought you just bought a pair.
3187,i thought you just bought a pair.,i did.
3188,i did.,what's wrong with them so soon?
3189,what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it."
3190,"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
3191,you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.
3192,but that's what pockets are for.,you should carry them in a purse.
3193,you should carry them in a purse.,"i'm a man, and men don't carry purses!"
3194,"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
3195,"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
3196,i would if i could find someone who makes strong pockets.,try a google search online.
3197,what are those wipes for?,you use them to wipe the handle of the shopping cart.
3198,you use them to wipe the handle of the shopping cart.,that's a great idea.
3199,that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
3200,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
3201,i'm going to take five wipes.,what do you need five of them for?
3202,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
3203,"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
3204,what's the matter with the produce?,do you think the bananas fell from the sky?
3205,do you think the bananas fell from the sky?,what do you mean?
3206,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
3207,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with."
3208,did you go to the 99 cents store?,"yes, i did."
3209,"yes, i did.",what did you buy?
3210,what did you buy?,"well, i got a lot of good deals, as usual."
3211,"well, i got a lot of good deals, as usual.",like what?
3212,like what?,"well, a dozen large eggs were only 99 cents."
3213,"well, a dozen large eggs were only 99 cents.",that's a good deal.
3214,that's a good deal.,and a one-pound tub of soft butter was the same price.
3215,and a one-pound tub of soft butter was the same price.,another good deal.
3216,another good deal.,but the best deal was five pounds of potatoes for 99 cents.
3217,but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
3218,i don't know how that store makes money.,"neither do i, but they're doing something right."
3219,i need a new computer.,what's the matter with yours?
3220,what's the matter with yours?,it's six years old.
3221,it's six years old.,that's pretty old.
3222,that's pretty old.,"it still works, but i'm going to give it to a charity."
3223,"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
3224,are you going to buy a desktop or laptop?,"oh, a laptop, of course."
3225,"oh, a laptop, of course.",a pc or a mac?
3226,a pc or a mac?,i haven't decided yet.
3227,i haven't decided yet.,more and more people are using macs.
3228,more and more people are using macs.,but 90 percent of the world uses pcs.
3229,but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
3230,i got ripped off.,what happened?
3231,what happened?,"i had a car problem, so i went online."
3232,"i had a car problem, so i went online.",did you find a solution?
3233,did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
3234,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
3235,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
3236,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
3237,what are you going to do?,i sent them an email asking for my money back.
3238,i sent them an email asking for my money back.,have you heard from them?
3239,have you heard from them?,not yet. it's been a week.
3240,not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
3241,where's the pencil sharpener?,which one?
3242,which one?,any one. i need to sharpen this pencil.
3243,any one. i need to sharpen this pencil.,i think there's one on the dining room table.
3244,i think there's one on the dining room table.,i already looked there.
3245,i already looked there.,did you look in the desk drawer?
3246,did you look in the desk drawer?,"yes, i looked there, too."
3247,"yes, i looked there, too.",don't we have about five sharpeners?
3248,don't we have about five sharpeners?,"yes, but they seem to have legs."
3249,"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
3250,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
3251,get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
3252,i'm trying to stretch my dollars.,how are you doing that?
3253,how are you doing that?,i started shopping at the dollar store.
3254,i started shopping at the dollar store.,that saves a lot of money.
3255,that saves a lot of money.,i bought three pounds of potatoes for a dollar.
3256,i bought three pounds of potatoes for a dollar.,that's a good deal.
3257,that's a good deal.,"yes, even though some of the potatoes had eyes."
3258,"yes, even though some of the potatoes had eyes.",just put them in the fridge.
3259,just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
3260,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
3261,why did you do that?,i mixed them together.
3262,i mixed them together.,"if the coffee still tastes okay, that's a good idea."
3263,i really like this house.,can we afford it?
3264,can we afford it?,they want 20 percent down.
3265,they want 20 percent down.,that's a lot of money.
3266,that's a lot of money.,but the house is so nice.
3267,but the house is so nice.,it's in a great neighborhood.
3268,it's in a great neighborhood.,it's close to the beach.
3269,it's close to the beach.,it's close to the freeways.
3270,it's close to the freeways.,it's got a big yard.
3271,it's got a big yard.,"the kids love the house, too."
3272,"the kids love the house, too.","if we don't buy it, someone else will."
3273,"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
3274,we can't afford this house.,are you sure?
3275,are you sure?,"we will be house rich, but cash poor."
3276,"we will be house rich, but cash poor.",what do you mean?
3277,what do you mean?,our monthly payments will be too high.
3278,our monthly payments will be too high.,we won't have any money for other things?
3279,we won't have any money for other things?,"no, we won't have money for gas or food."
3280,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
3281,we'll be eating peanut butter sandwiches?,without the peanut butter!
3282,without the peanut butter!,that's no good!
3283,that's no good!,we have to find a cheaper house.
3284,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
3285,that is a beautiful house.,i don't like it.
3286,i don't like it.,what's the matter with it?
3287,what's the matter with it?,it's on the corner.
3288,it's on the corner.,so?
3289,so?,that means it gets twice as much traffic.
3290,that means it gets twice as much traffic.,you're right.
3291,you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
3292,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
3293,or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
3294,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
3295,let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
3296,i hate looking for an apartment.,"me, too."
3297,"me, too.",we have a 2 o'clock appointment to see the one on main street.
3298,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
3299,we'd better get ready to go.,it's an upstairs unit.
3300,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
3301,"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
3302,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
3303,that's great. we won't have neighbors on both sides of us.,no pets are allowed.
3304,no pets are allowed.,perfect. we don't have to listen to barking dogs.
3305,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
3306,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
3307,did you call the manager?,yes. he said he'd come over tomorrow.
3308,yes. he said he'd come over tomorrow.,did he say what time?
3309,did he say what time?,yes. he said he'd be here at 9 o'clock.
3310,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
3311,did he understand what the problem is?,yes. i told him our doorbell doesn't work.
3312,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
3313,it shouldn't take him long to fix it.,i don't even know why we need to fix it.
3314,i don't even know why we need to fix it.,in case we have visitors.
3315,in case we have visitors.,but they can just knock on the door.
3316,but they can just knock on the door.,"actually, i want him to look at our carpet, too."
3317,"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
3318,do you like this house?,"yes, it's beautiful."
3319,"yes, it's beautiful.",it's perfect for us and the kids.
3320,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
3321,"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
3322,and we can afford it!,so are we going to buy it?
3323,so are we going to buy it?,i'm afraid not.
3324,i'm afraid not.,"it's too far from your job, isn't it?"
3325,"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
3326,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
3327,"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
3328,i won't be able to play with the kids.,"no, we have to find something closer to your job."
3329,"boy, it's chilly outside, isn't it?",it sure is.
3330,it sure is.,"in fact, it's chilly in the apartment, too."
3331,"in fact, it's chilly in the apartment, too.",let's turn on the heat.
3332,let's turn on the heat.,i'll check to make sure that all the windows are shut.
3333,i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
3334,it should be warmer in a few minutes.,it's so nice to have a heated apartment.
3335,it's so nice to have a heated apartment.,how did they survive in the old days?
3336,how did they survive in the old days?,they had fireplaces.
3337,they had fireplaces.,someone had to chop the wood.
3338,someone had to chop the wood.,and carry it into the house.
3339,and carry it into the house.,all we have to do is flip a switch.
3340,this is a nice neighborhood.,the streets are clean and quiet.
3341,the streets are clean and quiet.,the neighbors don't party on the weekends.
3342,the neighbors don't party on the weekends.,people take care of their lawns.
3343,people take care of their lawns.,no rusty old cars are sitting in the front yards.
3344,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
3345,we never have to call the police about anything.,our kids are completely safe.
3346,our kids are completely safe.,so why are we selling our house?
3347,so why are we selling our house?,they're building a 3-story apartment building on the corner.
3348,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
3349,so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
3350,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
3351,that was a huge fire in santa barbara.,"yes, it was."
3352,"yes, it was.",they said about 30 houses burned to the ground.
3353,they said about 30 houses burned to the ground.,and they were expensive houses.
3354,and they were expensive houses.,i feel so sorry for those people.
3355,i feel so sorry for those people.,why feel sorry for rich people?
3356,why feel sorry for rich people?,i feel sorry for anyone who loses their home.
3357,i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
3358,"so do i, but not if they're rich.",what does that have to do with it?
3359,what does that have to do with it?,rich people think they're better than us.
3360,rich people think they're better than us.,how many rich people do you know?
3361,how many rich people do you know?,none.
3362,bears are invading our neighborhoods.,of course they are. they're starving to death.
3363,of course they are. they're starving to death.,they should stay in the woods where they belong.
3364,they should stay in the woods where they belong.,there's no food in the woods.
3365,there's no food in the woods.,can't they eat grass?
3366,can't they eat grass?,do you think a bear is a cow?
3367,do you think a bear is a cow?,"well, i've seen them eating berries."
3368,"well, i've seen them eating berries.",berries aren't in season all year round.
3369,berries aren't in season all year round.,it's too dangerous for kids and pets.
3370,it's too dangerous for kids and pets.,people need to cover their trash cans.
3371,people need to cover their trash cans.,the police need to shoot all the bears.
3372,the police need to shoot all the bears.,you don't solve a problem by shooting it.
3373,who did you vote for?,i voted for obama.
3374,i voted for obama.,me too.
3375,me too.,he will be a great president.
3376,he will be a great president.,everyone likes him.
3377,everyone likes him.,he's a good speaker.
3378,he's a good speaker.,and he's really smart.
3379,and he's really smart.,he will solve our problems.
3380,he will solve our problems.,he will end the war.
3381,he will end the war.,the next four years will be good years.
3382,the next four years will be good years.,"i'll vote for him next time, too."
3383,"i'll vote for him next time, too.",i think everyone will.
3384,the election is next week.,who are you voting for?
3385,who are you voting for?,i'm not voting for the mayor.
3386,i'm not voting for the mayor.,why not?
3387,why not?,he made promises that he didn't keep.
3388,he made promises that he didn't keep.,like what?
3389,like what?,"he promised to hire 1,000 more police officers."
3390,"he promised to hire 1,000 more police officers.",how many did he hire?
3391,how many did he hire?,one hundred!
3392,one hundred!,maybe he had a good reason.
3393,maybe he had a good reason.,maybe he's just a liar.
3394,maybe he's just a liar.,"maybe i'll vote for someone else, too."
3395,i can't believe he won the election.,only 15 percent of the voters turned out.
3396,only 15 percent of the voters turned out.,that is a joke.
3397,that is a joke.,"voting is so important, but people don't bother."
3398,"voting is so important, but people don't bother.",many people think their vote doesn't matter.
3399,many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
3400,"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
3401,we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
3402,voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
3403,all you have to do is vote and put a stamp on it.,how easy is that?
3404,how easy is that?,i guess people just don't care.
3405,i guess people just don't care.,they'll care when they see their taxes go up.
3406,"well, we have a new president.",but we have the same old problems.
3407,but we have the same old problems.,"well, he's made a few changes."
3408,"well, he's made a few changes.",like what?
3409,like what?,i think he closed the bowling alley in the white house.
3410,i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
3411,"oh, yeah. he's changing it to a basketball court.",who's paying for that?
3412,who's paying for that?,i think we are!
3413,i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
3414,"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
3415,"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
3416,do any other world leaders have a basketball court?,they will. you know america always leads the way.
3417,people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
3418,"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
3419,that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
3420,obama's got four years to make everyone happy.,he's never going to make everyone happy.
3421,he's never going to make everyone happy.,can you imagine being president?
3422,can you imagine being president?,everyone wants you to solve their problems.
3423,everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
3424,i have enough stress from trying to solve my own problems.,you and everybody else.
3425,you and everybody else.,i would never want to be president.
3426,i would never want to be president.,but think about all the power you'd have.
3427,but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
3428,did you read this article?,what article?
3429,what article?,it says the mayor spends only 11 percent of his time on city duties.
3430,it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
3431,only 11 percent?,about 50 percent of the time he's traveling.
3432,about 50 percent of the time he's traveling.,where does he travel to?
3433,where does he travel to?,"oh, all over the world."
3434,"oh, all over the world.",but he's supposed to be making our city a better place.
3435,but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
3436,he's visiting other cities to get ideas.,can't he just go online?
3437,can't he just go online?,the rest of the time he's raising money for his reelection.
3438,the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
3439,who did you vote for for president?,i voted for ralph nader.
3440,i voted for ralph nader.,who in the world is ralph nader?
3441,who in the world is ralph nader?,he's the best man for president.
3442,he's the best man for president.,why's that?
3443,why's that?,he hates corporations.
3444,he hates corporations.,"well, most corporations do think only about money."
3445,"well, most corporations do think only about money.",he hates democrats and republicans.
3446,he hates democrats and republicans.,"well, they do put their party before their country."
3447,"well, they do put their party before their country.",he's the only candidate that i trust.
3448,he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
3449,but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
3450,i don't know why i bother to vote.,why's that?
3451,why's that?,what good does it do?
3452,what good does it do?,you get to put someone in power that you like.
3453,you get to put someone in power that you like.,only if my candidate wins.
3454,only if my candidate wins.,"well, he can't win unless you and others vote for him."
3455,"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
3456,"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
3457,that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
3458,"and when elected, they go their own way.",they forget who put them in power.
3459,they forget who put them in power.,they forget where they came from.
3460,they forget where they came from.,maybe you should run for office.
3461,that election for u.s. senator stunk.,what do you mean?
3462,what do you mean?,there were more votes than voters!
3463,there were more votes than voters!,but that's impossible.
3464,but that's impossible.,officials said that it's possible.
3465,officials said that it's possible.,did they explain how it's possible?
3466,did they explain how it's possible?,no. they said there are some things you can't explain.
3467,no. they said there are some things you can't explain.,so are they going to hold another election?
3468,so are they going to hold another election?,no. that will cost too much money.
3469,no. that will cost too much money.,so it's better to save money than to have an honest election?
3470,so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
3471,"well, the democratic party says it was an honest election.",of course they say thatÂ—their man won!
3472,i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
3473,yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
3474,"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
3475,"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
3476,"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
3477,but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
3478,that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
3479,he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
3480,did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
3481,"no, he didn't have time to do that.","well, he's got plenty of time now!"
3482,"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
3483,did you get your official sample ballot?,"yes, with the voter instructions."
3484,"yes, with the voter instructions.",how are you going to vote?
3485,how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
3486,"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
3487,"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
3488,"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
3489,"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
3490,we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
3491,that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
3492,our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
3493,they are having a good time with our money.,so when are we going to stop giving them more?
3494,have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
3495,"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
3496,"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
3497,you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
3498,but the tv ads say that our taxes will not increase.,do you believe the tv ads?
3499,do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
3500,i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
3501,"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
3502,"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
3503,"the title should be ""better schools at huge cost.""",i can't believe that they would lie to us.
3504,i can't believe that they would lie to us.,of course they lieÂ—that's what politicians do!
3505,i have a stomachache.,is it something you ate?
3506,is it something you ate?,maybe. i'm not sure.
3507,maybe. i'm not sure.,what did you have for breakfast?
3508,what did you have for breakfast?,"the usual, cereal with milk and a banana."
3509,"the usual, cereal with milk and a banana.",maybe the milk was bad.
3510,maybe the milk was bad.,it didn't smell bad.
3511,it didn't smell bad.,maybe the banana was bad.
3512,maybe the banana was bad.,"no, the banana was delicious."
3513,"no, the banana was delicious.",maybe you just need to go to the bathroom.
3514,maybe you just need to go to the bathroom.,"no, that's not the problem."
3515,"no, that's not the problem.",maybe it will go away in a little while.
3516,what's this stain?,i don't know.
3517,i don't know.,it looks like blood.
3518,it looks like blood.,i think my nose was bleeding.
3519,i think my nose was bleeding.,you should wet your shirt immediately.
3520,you should wet your shirt immediately.,why?
3521,why?,because that gets the blood out of the shirt.
3522,because that gets the blood out of the shirt.,what's a little blood?
3523,what's a little blood?,your white shirt is ruined.
3524,your white shirt is ruined.,"so, i'll just buy another one."
3525,"so, i'll just buy another one.",you can wear this one around the house.
3526,you can wear this one around the house.,next time i'll soak it immediately.
3527,my fingers hurt.,why do they hurt?
3528,why do they hurt?,i type too much.
3529,i type too much.,you should take a break.
3530,you should take a break.,i need to type to make money.
3531,i need to type to make money.,but typing is causing you pain.
3532,but typing is causing you pain.,maybe i should see a doctor.
3533,maybe i should see a doctor.,doctors are too expensive.
3534,doctors are too expensive.,he might tell me to rest for a while.
3535,he might tell me to rest for a while.,he might want to cut you open.
3536,he might want to cut you open.,he might say i'm okay.
3537,he might say i'm okay.,he might say you have bone cancer.
3538,what did the doctor say?,he thinks i have too much stress.
3539,he thinks i have too much stress.,stress causes your stomachaches?
3540,stress causes your stomachaches?,stress causes different problems with different people.
3541,stress causes different problems with different people.,so what did he tell you to do?
3542,so what did he tell you to do?,he said i need to think positive.
3543,he said i need to think positive.,he didn't give you any medication?
3544,he didn't give you any medication?,i hate medication. it makes me feel different.
3545,i hate medication. it makes me feel different.,so how do you think positive?
3546,so how do you think positive?,i think about nice things.
3547,i think about nice things.,like what?
3548,like what?,"like a day at the beach, with my toes in the sand."
3549,i cut my finger.,how did you do that?
3550,how did you do that?,it's a paper cut.
3551,it's a paper cut.,paper can be dangerous.
3552,paper can be dangerous.,"it hurts, too."
3553,"it hurts, too.",paper cuts can hurt a lot.
3554,paper cuts can hurt a lot.,where are the band-aids?
3555,where are the band-aids?,i think they're in the medicine cabinet.
3556,i think they're in the medicine cabinet.,it's on the tip of my finger.
3557,it's on the tip of my finger.,a band-aid might not work.
3558,a band-aid might not work.,i must not use this finger until the cut heals.
3559,i must not use this finger until the cut heals.,it might take a day or two to heal.
3560,do you smell that?,"oh, yes."
3561,"oh, yes.",i can't stand cigarette smoke.
3562,i can't stand cigarette smoke.,it smells so bad.
3563,it smells so bad.,one cigarette stinks up the whole sidewalk.
3564,one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
3565,smokers think they are so cool.,they are so weak.
